name,change,chair
"최동민 방청석에서 - 현재는 21인의 운영위원이 있는데 그 부분이 11명, 10명의 대표가 정부위원 중심으로 됐습니다. 그다음에 




가입자가 많이 줄어들면서도 가입자의 직접 




대표성은 완전히 상실된 안이 나와 있거든요. 그래서 그분들이 일정한 자격요건을 갖춘 사람을 간접 추천해서 그 사람으로 하게 




하는 것이고 그 사람의 요건도 경제전문지식이나 펀드에 대한 이해도를 중요시하는 측면이 높고요.)",NA,0
"김성호 방청석에서 - 국민연금노동조합 




위원장입니다.",NA,0
소위원장 문병호,문병호,1
현애자 의원,현애자,0
유필우 의원,유필우,0
강기정 의원,강기정,0
위원장대리 문병호,문병호,1
위원장대리 김춘진,김춘진,1
김춘진 의원,김춘진,0
김덕규 위원,김덕규,0
박재완 위원,박재완,0
윤건영 위원,윤건영,0
위원장대리 김선미,김선미,1
박재완 의원,박재완,0
전재희 의원,전재희,0
이기우 의원,이기우,0
김희선 의원,김희선,0
장복심 의원,장복심,0
소위원장 장향숙,장향숙,1
李聲九 委員,이성구,0
김종인 위원,김종인,0
위원장대리 강기정,강기정,1
정성호 의원,정성호,0
이영호 의원,이영호,0
유기준 의원,유기준,0
강기갑 의원,강기갑,0
엄호성 의원,엄호성,0
김선미 의원,김선미,0
위원장대리 박재완,박재완,1
위원장대리 안명옥,안명옥,1
정형근 의원,정형근,0
문병호 의원,문병호,0
소위원장대리 박재완,박재완,1
이은영 의원,이은영,0
許泰烈 議員,허태열,0
허태열 의원,허태열,0
정봉주 의원,정봉주,0
文姬 委員,문희,0
소위원장대리 이기우,이기우,1
李康斗 議員,이강두,0
위원장직무대리 이기우,이기우,1
백원우 위원,백원우,0
소위원장 김선미,김선미,1
노회찬 의원,노회찬,0
李聲九 議員,이성구,0
현애장 위원,현애장,0
文姬 위원,문희,0
文姬 議員,문희,0
손봉숙 의원,손봉숙,0
위원장 김태홍,김태홍,1
양승조 위원,양승조,0
윤호중 위원,윤호중,0
장복심 위원,장복심,0
김병호 위원,김병호,0
위원장대리 김병호,김병호,1
소위원장 강기정,강기정,1
소위원장 김병호,김병호,1
김효석 위원,김효석,0
위원장대리 양승조,양승조,1
신상진 의원,신상진,0
위원장대리 장복심,장복심,1
김충환 위원,김충환,0
장경수 위원,장경수,0
소위원장 장복심,장복심,1
장경수 의원,장경수,0
위원장직무대리 김병호,김병호,1
노웅래 위원,노웅래,0
권오을 의원,권오을,0
김태홍 위원,김태홍,0
위원장대리 김충환,김충환,1
소위원장 양승조,양승조,0
위원장대리 노웅래,노웅래,1
김충환 의원,김충환,0
위원장 변웅전,변웅전,0
강명순 위원,강명순,0
최영희 위원,최영희,0
정하균 위원,정하균,0
곽정숙 위원,곽정숙,0
심재철 위원,심재철,0
이정선 위원,이정선,0
김혜성 위원,김혜성,0
손숙미 위원,손숙미,0
원희목 위원,원희목,0
전혜숙 위원,전혜숙,0
윤석용 위원,윤석용,0
이애주 위원,이애주,0
박은수 위원,박은수,0
소위원장 신상진,신상진,1
신상진 위원,신상진,0
위원장대리 신상진,신상진,1
전현희 위원,전현희,0
위원장 이재선,이재선,1
김금래 위원,김금래,0
주승용 위원,주승용,0
이낙연 위원,이낙연,0
秋美愛 委員,추미애,0
이춘식 위원,이춘식,0
박상은 위원,방상은,0
유재중 위원,유재중,0
이해봉 위원,이해봉,0
공성진 위원,공성진,0
위원장대리 주승용,주승용,1
이재오 위원,이재오,0
소위원장대리 이낙연,이낙연,1
崔敬禧 委員,최경희,0
소위원장 주승용,주승용,1
이해봉 의원,이해봉,0
위원장대리 신장진,신장진,1
이애주 의원,이애주,0
黃震夏 議員,황진하,0
최영희 의원,최영희,0
김성식 의원,김성식,0
박순자 위원,박순자,0
정몽준 의원,정몽준,0
최경희 위원,최경희,0
위원장 오제세,오제세,1
柳在仲 委員,유재중,0
김명연 위원,김명연,0
김정록 위원,김정록,0
김현숙 위원,김현숙,0
金熙國 委員,김희국,0
류지영 위원,류지영,0
민현주 위원,민현주,0
신경림 위원,신경림,0
이목희 위원,이목희,0
김성주 위원,김성주,0
김용익 위원,김용익,0
남인순 위원,남인순,0
이언주 위원,이언주,0
이학영 위원,이학영,0
최동익 위원,최동익,0
김미희 위원,김미희,0
문정림 위원,문정림,0
신의진 위원,신의진,0
柳在仲 委員,유재중,0
정몽준 위원,정몽준,0
위원장대리 이목희,이목희,1
委員長代理 柳在仲,유재중,1
소위원장 이목희,이목희,1
小委員長 柳在仲,유재중,1
金熙國 委員,김희국,0
윤후덕 의원,윤후덕,0
신의진 의원,신의진,0
심상정 의원,심상정,0
위원장대리 김정록,김정록,1
안철수 위원,안철수,0
小委員長 柳在仲,유재중,1
委員長職務代行 柳在仲,유재중,1
김정록 의원,김정록,0
민형주 위원,민형주,0
柳在中 委員,유재중,0
委員長代理 柳在仲,유재중,1
위원장 오세제,오세제,0
이완영 위원,이완영,0
위원장 김춘진,김춘진,1
이명수 위원,이명수,0
김기선 위원,김기선,0
박윤옥 위원,박윤옥,0
이종진 위원,이종진,0
인재근 위원,인재근,0
김재원 위원,김재원,0
위원장대리 김성주,김성주,1
위원장대리 이명수,이명수,1
위원장대리 김명수,김명수,1
소위원장 김성주,김성주,0
김제식 위원,김제식,0
위원장대리 김제식,김제식,1
소위원장 이명수,이명수,1
김미희 의원,김미희,0
김제식 의원,김제식,0
"유용상 방청석에서 ― 전번에 안홍준 국회의원님께서도 그런 협의체를 만들자고 상당히 강력한 의지를 보이셨고 했습니다. 그래서 어쨌든 의료 일원화의 길은 우리가 가야 할 길이고 우리 국가가 가야 할 길이기 




때문에 그 전체적인 틀 안에서 어떤 의료기라든지 이런 것도 함께 논의하자는 것이 우리 의사협회의 생각입니다. 그러나 단순히 




이런 협의체를 만들 때 한의사에 의료기기를 어느 정도까지 허용하는 것을 전제로 한다는 것은 저희들이 받아들일 수가 없다 그런 생각합니다.)",NA,0
장정은 위원,장정은,0
위원장대리 최동익,최동익,1
위원장대리 박윤옥,박윤옥,1
최원식 위원,최원식,0
소위원장대리 김성주,김성주,1
위원장 양승조,양승조,1
박인숙 위원,박인숙,0
강석진 위원,강석진,0
김상훈 위원,김상훈,0
김순례 위원,김순례,0
성일종 위원,성일종,0
송석준 위원,송석준,0
윤소하 위원,윤소하,0
권미혁 위원,권미혁,0
기동민 위원,기동민,0
김상희 위원,김상희,0
오제세 위원,오제세,0
정춘숙 위원,정춘숙,0
김광수 위원,김광수,0
김동철 위원,김동철,0
최도자 위원,최도자,0
김승희 위원,김승희,0
천정배 위원,천정배,0
윤종필 위원,윤종필,0
윤소하 의원,윤소하,0
위원장대리 인재근,인재근,1
위원장대리 김상훈,김상훈,1
소위원장 김상훈,김상훈,1
성일종 의원,성일종,0
전혜숙 의원,전혜숙,0
김현권 의원,김현권,0
최도자 의원,최도자,0
박범계 의원,박범계,0
김광수 의원,김광수,0
소위원장 인재근,인재근,1
천정배 의원,천정배,0
최교일 의원,최교일,0
소위원장대리 김상훈,김상훈,1
채이배 의원,채이배,0
위원장대리 전혜숙,전혜숙,1
위원장 양증조,양승조,1
소위원장 김광수,김광수,1
위원장대리 김광수,김광수,1
신용현 의원,신용현,0
위원장 이명수,이명수,1
맹성규 위원,맹성규,0
신동근 위원,신동근,0
윤일규 위원,윤일규,0
金世淵 위원,김세연,0
장정숙 위원,장정숙,0
柳在仲 위원,유재중,0
위원장대리 기동민,기동민,1
소위원장 김명연,김명연,1
위원장대리 김명연,김명연,1
소위원장 기동민,기동민,1
정춘숙 의원,정춘숙,0
柳在仲 위원,유재중,0
손혜원 위원,손혜원,0
주호영 의원,주호영,0
위원장대리 최도자,최도자,1
보건복지부사회보장위원회사무국장 김서중,NA,0
위원장 金世淵,김세연,1
맹성규 의원,맹성규,0
진선미 위원,진선미,0
장정숙 의원,장정숙,0
위원장대리 장정숙,장정숙,1
원유철 의원,원유철,0
허윤정 의원,허윤정,0
위원장대리 김승희,김승희,1
소위원장 김승희,김승희,1
소위원장 최도자,최도자,1
